eps,optimal_theta,R,h_XZ,h_XY,h_Fe
1e-08,3.1415888805967773,0.49999984548067133,0.9999999711460996,2.7989337555444655e-07,0.9999999711460994
0.005050514848484848,3.1415888805967773,0.46982592042261845,0.9854519273618861,0.04580008622476593,0.9854519273616771
0.010101019696969697,3.1415888805967773,0.44474573037943443,0.9709535511515766,0.08146209010100289,0.9709535511512644
0.015151524545454544,3.1415888805967773,0.4216155471438151,0.9565054543614819,0.11327435978231168,0.9565054543610836
0.020202029393939395,3.1415888805967773,0.39976743942879667,0.9421082605942808,0.142573381445303,0.9421082605938053
0.025252534242424244,3.1415888805967773,0.37888440505818854,0.927762605523758,0.16999379511614493,0.9277626055232102
0.03030303909090909,3.1415888805967773,0.35877991120247993,0.9134691372205106,0.19590931452445806,0.9134691372198949
0.03535354393939394,3.1415888805967773,0.3393308535068735,0.8992285164891765,0.22056680918447516,0.8992285164884949
0.04040404878787879,3.1415888805967773,0.3204498682570976,0.8850414172177017,0.2441416804126865,0.8850414172169568
0.04545455363636364,3.1415888805967773,0.3020717514984371,0.8709085267391918,0.2667650234516285,0.8709085267383853
0.050505058484848486,3.1415869508365475,0.28414599936661217,0.8568305462080321,0.28853854718164823,0.8568305462060515
0.055555563333333335,3.141586008318717,0.2666323650187209,0.8428081909850309,0.30954346065316296,0.8428081909821574
0.06060606818181818,3.141588818637015,0.24949804543850332,0.8288421910420196,0.32984609987463925,0.828842191041002
0.06565657303030302,3.141588709200339,0.23271581277007813,0.8149332913883585,0.3495016655578528,0.8149332913872191
0.07070707787878787,3.141586231028195,0.21626272414961992,0.8010822524929919,0.3685568039007526,0.8010822524898054
0.07575758272727272,3.141586008838434,0.20011920209367692,0.7872898507362759,0.3870514462559651,0.7872898507326898
0.08080808757575757,3.1415874072728505,0.18426836125929832,0.7735568788849947,0.4050201560753231,0.7735568788826506
0.08585859242424242,2.841448898060701,0.1688014804132756,0.7678150809266246,0.4224931378354238,0.7598841465754229
0.09090909727272727,2.5887038705888226,0.154595202929419,0.7735743308641772,0.4394970077725162,0.7462724808208974
0.09595960212121211,2.42477263622242,0.1417099860801157,0.7792439137371386,0.45605539283174534,0.7327227265283662
0.10101010696969696,2.2959242887424827,0.12999650541532812,0.7848254437576305,0.47218940318361696,0.7192357470528288
0.10606061181818181,2.1875365191843126,0.11932676538178016,0.7903213394552424,0.48791801000715096,0.7058124247634288
0.11111111666666666,2.0930138576368162,0.1095903328427194,0.7957325690314193,0.503258351153773,0.6924536616351761
0.11616162151515151,2.008687121068892,0.1006913619885279,0.8010608852345729,0.5182259811210668,0.6791603798651624
0.12121212636363635,1.9322629343591908,0.09254621907855226,0.8063074287221541,0.5328350774686166,0.6659335225145728
0.1262626312121212,1.8621884830357154,0.08508156757278557,0.8114736450943136,0.5470986127680155,0.6527740541778704
0.13131313606060604,1.7973557695177529,0.0782328106861355,0.8165605433847408,0.5610284989923142,0.6396829616806344
0.1363636409090909,1.7369374175091556,0.07194281433636884,0.8215695825775218,0.5746357096535266,0.626661254807616
0.14141414575757574,1.6803037341885183,0.06616085217217156,0.8265007538743336,0.587930383814953,0.6137099670626998
0.1464646506060606,1.6269490541250464,0.06084172804800481,0.8313561176946125,0.6009219152192926,0.6008301564625593
0.15151515545454544,1.5764729284034522,0.05594504144367273,0.836136061407115,0.613619029101907,0.588022906365941
