eps,optimal_theta,R,h_XZ,h_XY,h_Fe
1e-08,3.1415888805967773,0.4999997298170211,0.9999997398187993,2.7989337555444655e-07,0.9999999711460994
0.005050514848484848,3.1415888805967773,0.45904817775147505,0.9638964420195226,0.04580008622476593,0.9854519273616771
0.010101019696969697,3.1415888805967773,0.4279299346716559,0.9373219597358997,0.08146209010100289,0.9709535511512644
0.015151524545454544,3.1415888805967773,0.4004118576159571,0.9140980753056149,0.11327435978231168,0.9565054543610836
0.020202029393939395,3.1415888805967773,0.3751855836431139,0.8929445490227401,0.142573381445303,0.9421082605938053
0.025252534242424244,3.1415888805967773,0.35163547522261096,0.8732647458524089,0.16999379511614493,0.9277626055232102
0.03030303909090909,3.1415888805967773,0.32940203683851266,0.854713388492367,0.19590931452445806,0.9134691372198949
0.03535354393939394,3.1415888805967773,0.3082496637663964,0.8370661370080009,0.22056680918447516,0.8992285164884949
0.04040404878787879,3.1415888805967773,0.28801221843590386,0.8201661175750833,0.2441416804126865,0.8850414172169568
0.04545455363636364,3.1415888805967773,0.2685664280511668,0.8038978798444126,0.2667650234516285,0.8709085267383853
0.050505058484848486,3.1415888805967773,0.24981732190415742,0.7881731912802803,0.28853854718164823,0.8568305462060515
0.055555563333333335,3.1415888805967773,0.23168958644548027,0.7729226338343116,0.30954346065316296,0.8428081909821574
0.06060606818181818,3.14158803712113,0.2141221095174736,0.758090319200407,0.32984609987463925,0.828842191041002
0.06565657303030302,3.1415871942021107,0.19706436804410965,0.7436304019375478,0.3495016655578528,0.8149332913872191
0.07070707787878787,3.141586944774067,0.1804739419358126,0.7295046880638577,0.3685568039007526,0.8010822524898054
0.07575758272727272,3.1415880916419723,0.1643147476288769,0.7156809418039677,0.3870514462559651,0.7872898507326898
0.08080808757575757,3.1415878743440078,0.14855574889721068,0.7021316541599804,0.4050201560753231,0.7735568788826506
0.08585859242424242,2.8443411763154582,0.13323086649711366,0.6949286847266671,0.4224931378354238,0.7598841465754229
0.09090909727272727,2.5034078118698173,0.11942226787535536,0.7044120385763547,0.4394970077725162,0.7462724808208974
0.09595960212121211,2.3003263285311277,0.1073022370209256,0.7136035296348509,0.45605539283174534,0.7327227265283662
0.10101010696969696,2.14569664320773,0.09661224854869417,0.7225205518112464,0.47218940318361696,0.7192357470528288
0.10606061181818181,2.018521310671445,0.08714293750161745,0.7311784523200476,0.48791801000715096,0.7058124247634288
0.11111111666666666,1.909658379152494,0.07872295370918471,0.739590150760294,0.503258351153773,0.6924536616351761
0.11616162151515151,1.814104375103698,0.07121071909280258,0.7477686809494669,0.5182259811210668,0.6791603798651624
0.12121212636363635,1.7287692829632575,0.064488242105178,0.7557239052036006,0.5328350774686166,0.6659335225145728
0.1262626312121212,1.6515666565008014,0.05845641395671073,0.7634671098219459,0.5470986127680155,0.6527740541778704
0.13131313606060604,1.581021852165855,0.05303138817728746,0.7710069494383502,0.5610284989923142,0.6396829616806344
0.1363636409090909,1.5160455182326043,0.04814176302269687,0.7783507538215721,0.5746357096535266,0.626661254807616
0.14141414575757574,1.4557955058129222,0.04372636629757814,0.785507308169001,0.587930383814953,0.6137099670626998
0.1464646506060606,1.3996189213996948,0.03973249740937215,0.792482916428352,0.6009219152192926,0.6008301564625593
0.15151515545454544,1.3469915436982556,0.0361145201362295,0.7992837430705921,0.613619029101907,0.588022906365941
0.1565656603030303,1.2974832313842175,0.03283272705277253,0.8059162362846579,0.6260298487439799,0.575289326340618
0.16161616515151514,1.2507410368262932,0.029852416297931263,0.812385739810816,0.6381619534220709,0.5626305530702416
0.16666667,1.206467752050345,0.02714313572686668,0.8186976773287964,0.6500224290995754,0.5500477513034395
0.17171717484848484,1.164417942121213,0.024678060057185973,0.8248556087741248,0.6616179129606564,0.5375421148477233
